id,notelong,notepitch,notenextpitch,glideornot,nextbreathornot,notepage,noterow,sentencelong,songlong,breathtime
1,1,67,69,0,-1,1,1,0,32000,
2,0.5,69,67,1,0,1,1,0,,
3,0.5,67,67,0,0,1,1,0,,
4,1,67,64,0,0,1,1,0,,
5,1,64,72,0,0,1,1,0,,
6,1,72,74,0,0,1,1,0,,
7,0.5,74,72,1,0,1,1,0,,
8,0.5,72,72,0,0,1,1,0,,
9,1,72,69,1,0,1,1,0,,
10,1,69,67,0,1,1,1,8,,
11,1,67,67,0,-1,1,1,0,,
12,0.5,67,72,0,0,1,1,0,,
13,0.5,72,69,0,0,1,1,0,,
14,1.5,69,67,1,0,1,1,0,,
15,0.5,67,64,0,0,1,1,0,,
16,1,64,62,0,0,1,1,0,,
17,0.5,62,60,1,0,1,1,0,,
18,0.5,60,62,0,0,1,1,0,,
19,2,62,62,0,1,1,1,4,,
20,1,62,64,0,-1,1,2,0,,
21,0.5,64,67,1,0,1,2,0,,
22,0.5,67,69,0,0,1,2,0,,
23,1,69,67,0,0,1,2,0,,
24,1,67,67,0,1,1,2,4,,
25,1,67,74,0,-1,1,2,0,,
26,0.5,74,72,1,0,1,2,0,,
27,0.5,72,69,0,0,1,2,0,,
28,2,69,72,0,1,1,2,5,,
29,1,72,69,0,-1,1,2,0,,
30,0.5,69,72,1,0,1,2,0,,
31,0.5,72,67,0,0,1,2,0,,
32,1,67,64,0,0,1,2,0,,
33,0.5,64,67,0,0,1,2,0,,
34,0.5,67,57,0,0,1,2,0,,
35,1,57,62,0,1,1,2,3,,
36,0.5,62,64,0,-1,1,2,0,,
37,0.5,64,60,0,0,1,2,0,,
38,2,60,0,0,-2,1,2,0,,
